"","posted_date","candidate","message","observation","likes","comments","shares","type","language","media"
"158",2020-10-28,"biden","The American people deserve a president who has the respect of our teachers.","Teachers criticize Trump's policies",13136,2900,5697,"video","en",NA
"159",2020-10-28,"biden","There are so many signs that the American people are looking for better from their leaders. Kamala Harris and I are committed to uniting our country and building a strong future for all of you.","campaign ad",5259,2800,718,"video","en",NA
"160",2020-10-28,"biden","6 days. This is it folks — and if you vote, we’ll win.","campaign ad",46146,7200,3821,"video","en",NA
"161",2020-10-28,"biden","Under Donald Trump’s leadership, we have become weaker and sicker. Tune in as I discuss how I’ll get this virus under control and ensure every American has access to quality, affordable health care.","Biden's remarks",16090,8700,1937,"video","en",NA
"162",2020-10-28,"biden","We are the United States of America. We can beat this virus.
There is no challenge we cannot meet, no enemy we cannot face, no threat we cannot conquer when we stand together.","no pictures, just post",66545,7700,3294,"post","en",NA
"163",2020-10-28,"biden","Mark Hamill knows a little something about battling dark forces. Watch as he reacts to some of President Trump’s worst statements.","video",64304,8400,25100,"video","en",NA
"164",2020-10-28,"biden","We voted.","biden and jill biden voting",332895,23000,8081,"photo","en",NA
"165",2020-10-28,"biden","It’s simple: Donald Trump thinks health care is a privilege. I think it is your right.","no pictures, just post",93200,14000,4478,"post","en",NA
"166",2020-10-28,"biden","You can’t make this up: Yesterday the White House science office put out a statement listing “ending the COVID-19 pandemic"" as the top accomplishment of President Trump’s first term.","news story",63147,14000,6931,"link to politico.com","en",NA
"167",2020-10-28,"biden","I promise you that as President, I will listen to scientists like Dr. Ocko. Climate change is the biggest existential crisis facing our planet. We can’t let Donald Trump have another four years in office and delay dealing with our climate emergency.","video with climate scientist",10007,2900,2005,"video","en",NA
"168",2020-10-28,"biden","This is it folks — the final week of the election. Kamala Harris and Alicia Keys are talking with voters in Phoenix about the big issues impacting Americans, in Arizona and across the country. Tune in now.","Harris and Alicia Keys",10611,8500,1294,"video","en",NA
"169",2020-10-28,"biden","You have the power to win this election. 
It’s time to stand up and take back our democracy. 6 day to go. iwillvote.org","people in a rally",73860,10000,3767,"photo","en",NA
"170",2020-10-28,"biden","We’re less than a week away from Election Day, and the race is getting closer. our investment will help us reach voters in key states in these closing days—chip in to help us finish strong.","Biden and Harris in fundraising",5314,3300,195,"photo","en",NA
"171",2020-10-28,"biden","My friend John Lewis used to say, voting is the single most important thing anyone can do. You have the power to make a difference this election. Head to iwillvote.com now.","video with chris paul",15188,2500,1352,"video","en",NA
"172",2020-10-28,"biden","I’m not going to shut down the economy.
I’m not going to shut down the country. 
But I am going to shut down this virus.","no pictures, just post",179651,16000,11093,"post","en",NA
"173",2020-10-28,"biden","We’re showing up early for everything this year.
Get ready. makeaplan.com","Obama waiting",9823,2200,731,"video","en",NA
"174",2020-10-29,"biden","After months of competing against each other in the primary Elizabeth Warren, Pete Buttigieg, Cory Booker, Julián Castro, Amy Klobuchar, and I know each other pretty well. Watch them break down the latest presidential debate:","primary candidates react to debate",5791,1800,1048,"video","en",NA
"175",2020-10-29,"biden","Words matter. Actions matter.","campaign ad",7849,2600,2740,"video","en",NA
"176",2020-10-29,"biden","You deserve a president who will get up every single day and work to make your life better.
If you elect me, that’s exactly what I’ll do.","campaign ad",14312,4000,1963,"video","en",NA
"177",2020-10-29,"biden","Donald Trump thinks health care is a privilege. I think it’s your right.","no pictures, just post",21169,3600,827,"post","en",NA
"178",2020-10-29,"biden","It’s the final week of the election and it was great to be in Atlanta. In Georgia, and across the country, people of different races, backgrounds, and political parties are coming together to transcend old divisions and to show what’s possible.
In the most important election in any of our lifetimes — in this battle for the soul of America — we’re showing who we are.","photos of biden rally in Georgia",21585,4300,1332,"photo","en",NA
"179",2020-10-29,"biden","Moms across this nation are keeping families together, and taking things one day at a time during these unprecedented times. And there’s no doubt about it — Donald Trump’s failure in responding to this virus has put families and children in danger. We can’t allow him to continue his reckless behavior.","mom's react to Trump's statements",21685,5100,5618,"video","en",NA
"180",2020-10-29,"biden","En estos últimos días, es más importante que nunca que hables con tus amigos y familiares sobre la importancia de hacer un plan de votación. Actualiza tu imagen de perfil en avatar.joebiden.com para mostrar tu apoyo por Team Joe.","pictures of latinos who support biden",47692,7400,2671,"photo","es",NA
"181",2020-10-29,"biden","""History says, don't hope
On this side of the grave.
But then, once in a lifetime
The longed-for tidal wave
Of justice can rise up,
And hope and history rhyme.""
- Seamus Heaney","slideshow of photos of in Black and white on racial justice, climate justice and covid",13520,3200,3351,"video","en",NA
"182",2020-10-29,"biden","With the election days away, you’re probably wondering: where do we go from here? We have a chance to imagine a new country that works for all of us. My friend Julián Castro is here to tell you more about how Kamala Harris and I will build back better for all Americans. 
Thank you to Millennial Lotería for this beautiful art and to the incredible Julián Castro for lending your voice to spread this critical message. 
Let’s win this thing and build a stronger, more just America.","video narrated by Julian Castro",4462,1800,556,"video","en",NA
"183",2020-10-29,"biden","5 días. Eso es todo lo que nos queda para recuperar nuestra democracia.
Ve a votar hoy.","no pictures, just post",16531,4100,547,"post","es",NA
"184",2020-10-29,"biden","Young people are driving record-breaking early voting in states across the country. Hear directly from them about why they’re supporting me this fall:","video of young voters",14065,3200,1978,"video","en",NA
"185",2020-10-29,"biden","Communities are going to continue to be harmed by climate change if we don’t take drastic measures to combat it. Brave Americans, like Melanie from Phoenix, Arizona, are fighting every day on the ground to prevent wildfires. In a Biden Administration, we will invest in the science and the technology needed to fight back against climate change.","video on climate change - fires",3853,1500,427,"video","en",NA
"186",2020-10-29,"biden","We’re just five days from Election Day –– and everything is on the line. Tune in as we get out the vote in Broward County, Florida.","video of Biden event",14742,14000,1869,"video","en",NA
"187",2020-10-29,"biden","Latinas are the hearts of their families and communities. So often, they’re the main breadwinners and the caregivers, too. Our economy does not work without them – but for too long, they have been underpaid and undervalued. On Latina Equal Pay Day, we call attention to the fact that Latinas make only 54 cents on the dollar compared to the average, non-Hispanic white man. That means they’ll lose over $1 million over their lifetime in comparison. It’s wrong. 
And now, President Trump’s failed response to this pandemic has plunged our nation not just into a recession, but into a “she-cession” – with millions of women, particularly Latinas and women of color, bearing the brunt of lost hours, lost wages, lost businesses, and lost jobs. Millions of Latinas are still out of work or have dropped out of the labor force completely since COVID-19 hit.
Our country can’t afford another four years of Donald Trump. Latinas know they deserve better – and that is why they are mobilizing, voting, and making sure their friends and family turn out at the polls. Latinas are demanding an equal shot at opportunity and prosperity, and a fairer, more inclusive future for their families.
As President, I’ll work for them every day. That starts with containing this virus—which has so disproportionately hit the Latino community—so we can get our lives back. And I’ll make sure we don’t just rebuild; we’ll build back better, closing the gender wage gap and fighting wage discrimination, so that Latinas — and all women — are paid equally for equal work. I’ll also fight to pass a $15 federal minimum wage; make it easier for workers to organize and bargain collectively; and break down barriers to higher paying jobs, including by boosting training and education opportunities and providing paid family leave, affordable child care, and affordable health care.
The economic challenges facing Latinas have been ignored and worsened by President Trump. A Biden-Harris Administration will build back better for them and their families, starting from day one.","no pictures, just post",36155,6100,2576,"post","en",NA
"188",2020-10-29,"biden","Las trabajadoras latinas tienen la brecha salarial más grande de toda la nación y pierden más de $1 millón en una carrera en comparación con un hombre blanco no hispano. Lucharé para garantizar la igualdad salarial y establecer protecciónes laborales más fuertes para todas las mujeres, especialmente para las mujeres de color. Lee mas sobre como lo cumpliré: https://joebiden.com/womens-agenda/.","image reads ""las latinas ganan solo 54 centavos por cada dolar que gana un hombre blanco no hispano.",10837,2500,790,"photo","es",NA
"189",2020-10-29,"biden","The election is underway across the country, and we need your help to spread the word on social media. Sign up to help, and let’s win this thing:","the image says: ""Turn your social media into a Joe Biden Megaphone!""",5389,3000,281,"link to campaign website","en",NA
"190",2020-10-29,"biden","Probablemente te estés preguntando: ¿qué sigue ahora? Tenemos la oportunidad de imaginarnos un país nuevo que funcione para todos. Mi amigo Julián Castro está aquí para contarles más sobre cómo Kamala Harris y yo construiremos un mejor país para todos los estadounidenses.
Gracias a Millennial Lotería por este hermoso arte y al increíble Julián Castro por prestar su voz para difundir este mensaje crucial. Ganemos esto y construyamos un Estados Unidos más fuerte y más justo.","video narrated by Julian Castro",3938,2800,436,"video","es",NA
"191",2020-10-29,"biden","Here’s the bottom line: When we vote, things get better. Tune in as we hold a get out the vote rally in Tampa Bay, Florida.","video of Biden event",11484,10000,1631,"video","en",NA
"192",2020-10-29,"biden","The stakes in this election couldn’t be higher — and with just five days left, we can’t let up.
Chip in to help us get the job done on Tuesday:","fundraising request with photo of Biden and Harris",6493,4600,272,"link to actblue.com","en",NA
"193",2020-10-29,"biden","Latina workers have the largest wage gap among women in the nation — losing over $1 million over a career compared to a non-Hispanic white man. This is simply not right. I will fight to ensure equal pay and stronger protections in the workplace for all women, especially women of color. Read how I’ll do it: https://joebiden.com/womens-agenda/.","reads Latinas make 54 cents to every dollar white non-hispanic males make",29609,6100,2551,"photo","en",NA
"194",2020-10-29,"biden","My family understands the pride, stress, and fears that so many military families know when a loved one is sent to serve overseas. Our military men and women deserve our respect. They’ve put themselves in the line of duty to keep this country safe. If I have the honor of serving as your next Commander in Chief, I want you to know that I will have their back.","slideshow of beau biden",17384,3700,1847,"video","en",NA
"195",2020-10-29,"biden","This storm will pass, and a new day will come.","Biden talking in the rain",233182,16000,11643,"photo","en",NA
"196",2020-10-29,"biden","In 2016, Donald Trump won North Carolina by 173,315 votes. If you live in North Carolina, you can vote early between now and October 31 — let’s not leave anything to chance. Head to iwillvote.com/nc to learn more about where to vote.","women explaining vote for biden",11649,2100,873,"video","en",NA
"197",2020-10-29,"biden","If you clapped for our health care workers, vote for them as well.","health care workers explain vote for biden",28073,3700,3211,"video","en",NA
"198",2020-10-29,"biden","Investing in solar technology is a crucial step in fighting climate change. Listen to Brett Isaac of Baby Rocks, Arizona. He and a group of entrepreneurs formed Navajo Power, a renewable energy company. Together they are working to create solar power and jobs for the Navajo community.","climate justice",5317,1300,606,"video","en",NA
"199",2020-10-30,"biden","Climate change is threatening bees and Arizonans’ livelihoods. Read more on my plan to fight back: joebiden.com/clean-energy.","climate justice",5084,1800,572,"video","en",NA
"200",2020-10-30,"biden","As president, I’ll place someone who has taught in our public schools in charge as Secretary of Education. It’s about time we have someone who believes in public education in charge of leading our nation’s students.","video on biden's priorities",8802,2100,1551,"video","en",NA
"201",2020-10-30,"biden","Shamar — you’re absolutely right. We don’t thank people enough. It’s really important that we treat everyone with respect. You have some great ideas and I can’t wait to see all the great things you do.","video biden with African American boy",26418,2900,2405,"video","en",NA
"202",2020-10-30,"biden","Donald Trump quiere quitarle la cobertura de salud a millones de estadounidenses en medio de una pandemia. Yo lucharé para reducir los costos médicos y lograr que el cuidado de salud sea asequible y de calidad para todos.","Reads: planes sobre el cuidado de salud",34180,12000,3723,"photo","es",NA
"203",2020-10-30,"biden","I'm married to a teacher, and I’ve seen firsthand how difficult it is. Our nation's teachers are working tirelessly every day for their students. Dave Grohl and his mom Ginny, a former teacher, know the impact America’s teachers have on our nation. They also know that for too long teachers have been forced to make ends meet with too little pay and too few resources.
That all changes in a Biden-Harris administration. Read my plan: joebiden.com/caregiving.","video",16180,2700,1873,"video","en",NA
"204",2020-10-30,"biden","My faith has helped me through some of the most difficult times in my life. It’s helped me navigate through the tough lessons we go through as humans and provided me the values I’ve carried throughout my life. The presidency will be no exception.","video",30315,4800,2846,"video","en",NA
"205",2020-10-30,"biden","Since I can’t connect with as many people in person these days, I’ve been on Instagram a lot more.. And folks, I mean this sincerely — I really love reading through some of your comments. Thanks for following me!","video of Biden",19275,5500,1912,"video","en",NA
"206",2020-10-30,"biden","There’s no challenge we can’t overcome when we stand united. With just four days to go, tune in as we get out the vote in Iowa.","video of Biden's event",4677,2600,315,"video","en",NA
"207",2020-10-30,"biden","Folks, deadlines to vote early in-person are arriving across the country. Don’t wait until November 3rd to cast your ballot — head to iwillvote.com to find all the information you need to vote today.","list of states and the dates for the early vote",29092,8000,7544,"photo","en",NA
"208",2020-10-30,"biden","President Trump has tried again and again to dismantle the Affordable Care Act. But the truth is, the ACA has given people a lifeline to lifesaving care, including transplants. If Donald Trump succeeds in getting the U.S. Supreme Court to eliminate the entire ACA, 100 million Americans with pre-existing conditions like Jodie will lose their protections.","campaign ad",8744,2800,1645,"video","en",NA
"209",2020-10-30,"biden","If you live in these states: Florida, Georgia, Iowa, Nevada, Colorado, Michigan, New Hampshire, North Carolina, Pennsylvania, Virginia, or Wisconsin, check now to see where you can drop off your ballot. Learn more at iwillvote.com/locate.","image of I will Vote symbol",19333,5600,1162,"link to Iwillvote.com","en",NA
"210",2020-10-30,"biden","We are in a battle for the soul of the nation –– your voice and vote can make all the difference. Tune in as I speak live from Minnesota.","video of Biden's event",13595,16000,1941,"video","en",NA
"211",2020-10-30,"biden","Folks, we're just four days from Election Day, and we can't get complacent. Our campaign is working to reach voters across the country until the very last ballot is cast. We can't afford to fall short. 
If you're able, please chip in now:","fundraising request with photo of Biden and Harris",8413,3400,331,"link to actblue.com","en",NA
"212",2020-10-30,"biden","Your vote will help determine the future of our country. I’m in Wisconsin to urge folks to use that power. Tune in.","video of Biden's event",10325,10000,1327,"video","en",NA
"213",2020-10-30,"biden","More than 9 million cases of COVID-19 have been now confirmed in the United States — 20 percent of the world's reported caseload — and the virus is surging in nearly every state. More than 228,000 Americans have lost their lives. It is as severe an indictment of a president's record as one can possibly imagine, and it is utterly disqualifying. Anyone who is responsible for plunging and ensnaring America in this crisis — anyone who could do so without an ounce of shame or a shred of empathy — should not be president. 
As deeply worrying as the trendlines are right now across the country, the terrifying truth is that the situation could get still markedly worse for Americans, as Donald Trump and his fellow Republicans move within striking distance of destroying the Affordable Care Act once and for all.  
But they underestimate the American people. For more than eight months, in the absence of any leadership from Trump, the American people have stepped up to care and look out for one another, as nurses and fire-fighters, doctors and police officers, farmworkers and grocers, researchers and community volunteers. All doing for our country what our president could not, did not, and would not. As we square our shoulders, facing into the headwinds of a challenging winter, we will do what America has always done — come together and meet the challenge with compassion, courage, determination and with a president who will always be in their corner, instead of turning his back.","no pictures, just post",50742,12000,4857,"post","en",NA
"214",2020-10-31,"biden","You have my word: if I have the honor of serving as your president, I will do everything in my power to defeat COVID-19.
Here’s my plan to get it done:","Biden's plan to defeat covid",59723,10000,3462,"link to campaign website","en",NA
"215",2020-10-31,"biden","You have the power to silence him.
Vote: iwillvote.com","campaign ad",26771,3100,6212,"video","en",NA
"216",2020-10-31,"biden","3 days. We don't have time to waste. Go vote today.","no pictures, just post",39762,5600,1337,"post","en",NA
"217",2020-10-31,"biden","Don't wake up on Tuesday wishing you had done more.
If you're able, chip in $3 to help us get to the finish line:","fundraising request with photo of Biden and Harris",6216,3200,233,"link to actblue.com","en",NA
"218",2020-10-31,"biden","3 días. No hay tiempo que perder. Ve a votar hoy.","no pictures, just post",17506,3200,619,"post","es",NA
"219",2020-10-31,"biden","El presidente Trump simplemente no tiene un plan para el pueblo estadounidense. Yo sí tengo varios planes para apoyar a nuestros trabajadores y asegurar una economía que funcione para todos.","comparison of Biden and Trump's covid-19 plans",NA,NA,NA,"photo","es",NA
"220",2020-10-31,"biden","It’s the responsibility of a president to lead by example and do everything in his power to get the pandemic under control.
Donald Trump has failed us. He has no plan to combat COVID-19 and get our country back on track. From day one, I will work hard for you to get this virus under control and build back better than ever before.
Here’s a cheat sheet to lay it out for you. The choice couldn’t be clearer.","comparison of Biden and Trump's covid-19 plans",44557,9400,8255,"photo","en",NA
"221",2020-10-31,"biden","Who let all these people into my basement?","biden rally",277250,22000,40109,"photo","en",NA
"222",2020-10-31,"biden","I need you to show up to the polls. This will be a close race and every vote matters. 
Go vote.
Stay in line. 
Make your voice heard.
Send your friends and family to iwillvote.com.","stadium making the point that it is close",8693,2200,1084,"video","en",NA
"223",2020-10-31,"biden","More than 85 million Americans have already voted. I’m counting on you to make a plan to vote in the next three days. Make sure you’re ready to vote by heading to makeaplan.com.","make plan to vote",14000,3500,934,"photo","en",NA
"224",2020-10-31,"biden","With just three days to go, Barack Obama and I are back together on the campaign trail in Michigan. Tune in.","Biden's rally with Obama",21469,20000,3959,"video","en",NA
"225",2020-10-31,"biden","Life isn’t easy right now and families are taking things one day at a time. Across America, families are trying to put food on the table, keep a roof over their heads, and keep their families safe in this pandemic. As president, I’ll fight for your family as if it were my own.","video with Jill Biden",13993,4400,1164,"video","en",NA
"226",2020-10-31,"biden","Un número récord de latinos son elegibles para votar en esta elección, así que ve a votar para lograr que tu voz se escuche. No dejes que los demás decidan por ti. voyavotar.com","spanish campaign video",5569,1200,980,"video","es",NA
"227",2020-10-31,"biden","My Catholic faith drilled into me a core truth — that every person on earth is equal in rights and dignity. As president, these are the principles that will shape all that I do, and my faith will continue to serve as my anchor, as it has my entire life.","Story on Biden's faith",64238,8600,5186,"link to Christianpost.com","en",NA
"228",2020-10-31,"biden","Folks, deadlines to vote early in-person are arriving across the country. Don’t wait until November 3rd to cast your ballot — head to http://iwillvote.com to find all the information you need to vote today.","lists early vote dates per state",9863,3400,1403,"photo","en",NA
"229",2020-10-31,"biden","I am constantly blown away by the talent from our supporters. These come from Stan Herd Arts in Kansas who traveled to Michigan, Pennsylvania, and Wisconsin to create these crop art pieces.","Photos of crop art",51620,3000,5283,"photo","en",NA
"230",2020-10-31,"biden","There is too much at stake on Tuesday to sit this election out. Tune in as Barack Obama, Stevie Wonder, and I get out the vote in Detroit, Michigan.","biden's rally with Obama",17620,17000,2865,"video","en",NA
"231",2020-10-31,"biden","Barack Obama already voted, but he knows there's still more work to be done before Election Day.
Sign up to join him: JoeBiden.com/Call","Obama canvassing by phone",45105,5600,6745,"video","en",NA
"232",2020-10-31,"biden","Alfonso came here with a dream. And now he’s been robbed of his future. Enough is enough.
Alfonso vino aquí con un sueño. Y su futuro ha sido robado. Ya es suficiente.","campaign style ad",2730,1100,343,"video","es",NA
"233",2020-10-31,"biden","On Friday, Johns Hopkins University reported 95,583 new cases and 978 new deaths. This is now the highest number of new cases reported in a single day since the pandemic began. And now we’ve surpassed the 9 million mark for infections from COVID-19.
Donald Trump ignored the experts, downplayed the threat COVID-19 poses, and failed to take the action necessary to contain it. We’ve got to get this virus under control.","biden talking to covid-19 experts",40885,7900,6438,"photo","en",NA
"234",2020-10-31,"biden","no words","photo reads get out and vote",14479,2900,877,"link to iwillvote.com","en",NA
"235",2020-10-31,"biden","You’re absolutely right Brayden — no one should ever underestimate the American people.","campagn aid with people wearing masks",10138,2000,2346,"video","en",NA
"236",2020-10-31,"biden","Don’t ghost us this Election Day — vote!","Biden and Obama with sign that reads: Don't boo, vote",162962,8700,9062,"photo","en",NA
"237",2020-10-31,"biden","Here's something we don't say enough: Barack Obama was a great president.
Thank you my friend for joining me on the trail today.","obama talking to crowd",198992,12000,11189,"photo","en",NA
"238",2020-10-31,"biden","Enough of the lies.
Vote him out: iwillvote.com","campaign video",13317,5500,3398,"video","en",NA
"239",2020-11-01,"biden","I’m not exaggerating when I say grandmothers know best. Listen to what these abuelas have to say about Trump. I'm proud to have them on my side.
No estoy exagerando cuando digo que las abuelas lo saben todo. Escucha lo que tienen que decir estas abuelas acerca de Trump. Estoy orgulloso de tenerlas de mi lado.","abuelas reactions to trump",12278,2600,2621,"video","es",NA
"240",2020-11-01,"biden","When I say Build Back Better, here’s what I mean:
✅ Improving your commute
✅ Making travel and freight faster and cleaner
✅ Combating climate change
✅ Creating high-paying union jobs to get it all done","campaign ad",10766,2800,1466,"video","en",NA
"241",2020-11-01,"biden","There is a real human toll to President Trump's failed leadership.
We can't forget that.","camapaign ad on covid-19",13489,4600,2684,"video","en",NA
"242",2020-11-01,"biden","To those of you who are voting in your first election this year — congratulations! This is a momentous event and your country needs you to fulfill your sacred obligation and vote. To find out more about where you can vote head to iwillvote.com","young voters",18223,3100,1609,"video","en",NA
"243",2020-11-01,"biden","Donald Trump is wholly unfit to serve as commander in chief. But don’t just take my word for it...","John Kelly's criticisms of Trump",15062,3200,3776,"video","en",NA
"244",2020-11-01,"biden","If you’re sick or struggling or worried about how you’ll get through the day: I want you to know that I see you, and I won’t forget you.
You can count on me to fight for you every day in the White House.","no pictures, just post",89201,11000,3792,"post","en",NA
"245",2020-11-01,"biden","Estamos cansados de las mentiras de Trump sobre el COVID-19. Yo seré un presidente que realmente cree en la ciencia y tengo un plan para sacarnos de esta crisis.","campaing video in spanish",8290,2500,1140,"video","es",NA
"246",2020-11-01,"biden","Presidents lead by example.
Mask up.","biden and obama wearing a mask",249226,18000,14657,"photo","en",NA
"247",2020-11-01,"biden","I want to thank you each and every person who’s gotten involved in our campaign so far. Whether you chipped in a few dollars or dedicated a few hours of your time — I’m incredibly grateful. Let’s finish strong.","fundraising post with photo of biden and harris",11328,1900,348,"link to actblue.com","en",NA
"248",2020-11-01,"biden","Quedan 2 días hasta las elecciones. El futuro de nuestro país está en nuestras manos.
Haz un plan para votar en voyavotar.com","no pictures, just post",16982,3300,596,"post","es",NA
"249",2020-11-01,"biden","2 days. Finish strong.","no pictures, just post",171018,11000,2848,"post","en",NA
"250",2020-11-01,"biden","Nunca podemos olvidar cómo el presidente Trump le falló a Puerto Rico después del huracán María. Como presidente aseguraré la plena recuperación y renovación de la isla porque eso es lo que merecen los puertorriqueños. Lee mas sobre como lo cumpliré: joe.link/puertorico","hurricane maria's devastation",9600,1700,1423,"video","es",NA
"251",2020-11-01,"biden","Tune in as I join members of Philadelphia's faith community for a Souls to the Polls event.","video of biden's event",16655,15000,2815,"post","en",NA
"252",2020-11-01,"biden","America benefits enormously from the leadership, talent, and experience that our nation’s military service members bring. When they transition from the military back into civilian life we can do more to provide them with the right opportunities and resources to succeed.","video of biden with members of the US military",11482,3200,968,"video","en",NA
"253",2020-11-01,"biden","Together, we can solve the crises we’re facing and win the battle for the soul of the nation. It all begins on Tuesday. Tune in as we get out the vote in Pennsylvania.","live video of biden's event",14023,13000,1988,"video","en",NA
"254",2020-11-01,"biden","Hoy, en el Día de los Muertos, podemos honrar a las generaciones anteriores votando para proteger el futuro de las generaciones que siguen. voyavotar.com","photos of latinas with biden harris signs",110384,6800,6484,"video","es",NA
"255",2020-11-01,"biden","My faith has helped me through some of the most difficult times in my life. It’s helped me navigate through the tough lessons we go through as humans and provided me the values I’ve carried throughout my life. The presidency will be no exception.","jill biden talking about biden's faith",26631,3400,2180,"video","en",NA
"256",2020-11-01,"biden","What is the most Biden meal of all time? My friends José Andrés, Amy Brandwein, Marcus Samuelsson, Naomi Pomeroy, Mourad Lahlou, Paola Velez, and Duff Goldman are going to find out, cooking up some tasty recipes that you can try at home. Get hungry and get ready to vote!","Biden's event",8109,7200,742,"video","en",NA
"257",2020-11-01,"biden","Under my tax plan, no one making under $400,000 will see their taxes go up.
But it’s time large corporations and the wealthiest Americans pay their fair share.","no pictures, just post",90437,9700,7845,"post","en",NA
"258",2020-11-01,"biden","No es fácil decirlo, estamos pasando por momentos difíciles. Pero sé que cuando permanecemos unidos somos más fuertes.","campaign ad",4954,1100,321,"video","es",NA
"259",2020-11-01,"biden","Trump has had years to craft a health care plan to help Americans — but he didn’t. His only plan is to dismantle the Affordable Care Act and leave more than 130 million people with pre-existing conditions without health care protections. It’s wrong.","clips of 60 minutes interview",10893,4700,2720,"video","en",NA
"260",2020-11-01,"biden","From Arizona to Georgia to Wisconsin and beyond — we’re working hard to earn every last vote.","biden in a rally",104828,10000,3825,"photo","en",NA
"261",2020-11-01,"biden","El presidente Trump simplemente no tiene un plan para el pueblo estadounidense. Yo sí tengo varios planes para apoyar a nuestros trabajadores y asegurar una economía que funcione para todos.
","compares Biden and Trump plans",22522,5000,1906,"photo","es",NA
"262",2020-11-01,"biden","America, I need you to get out there and cast your ballot. Our nation, our democracy, and our future is on the ballot. Millions of people who can’t vote are counting on you to cast your vote for a country that is fair, equal, and just. Don’t miss out on this: iwillvote.com","campaign ad",7759,2100,694,"video","en",NA
"263",2020-11-02,"biden","If you’ve served your country, you should be taken care of. Period. 
Veterans have earned their benefits and they should be supported, second to none. As President, I will keep my duty as commander in chief to always take care of our veterans and their families. Read more on my plan: joebiden.com/veterans.","biden meeting with veterans",25136,4300,2330,"video","en",NA
"264",2020-11-02,"biden","If you live in Arizona, I’m counting on you to vote on Tuesday — let’s not leave anything to chance. Head over to iwillvote.com/locate to learn more about where to vote.","Arizonans explain why they support biden",4697,1200,489,"video","en",NA
"265",2020-11-02,"biden","BIG NEWS: Texas is now rated a ‘toss-up’ in the race. 
Texas, don’t wait, head to iwillvote.com/locate to learn more about where to vote.","infographics of the vote in Texas from 2016 to today",16077,3000,827,"video","en",NA
"266",2020-11-02,"biden","If you clapped for our health care workers, vote for them as well.","applause health care workers",9250,1600,1319,"video","en",NA
"267",2020-11-02,"biden","Michigan — I won’t ever come between you and your rivalry with Ohio State. But I do need you to vote early. Early voting ends on Monday, November 2. Head to iwillvote.com/mi to make your voting plan. Go Blue (and Go Green!) — but Vote Blue.","Michigan voters explaining why they support biden",5658,1500,426,"video","en",NA
"268",2020-11-02,"biden","Fired up!","obama wearing a mask that reads VOTE",196595,10000,7943,"video","en",NA
"269",2020-11-02,"biden","We’re going to get through this crisis—together.
","health care worker dealing with COVID-19 toll",44959,3400,2748,"video","en",NA
"270",2020-11-02,"biden","Why are you voting? Share your reason for voting with your family and friends by using our photo generator. Make yours at imvotingfor.joebiden.com","image includes four reasons to vote biden: decriminalize marijuana, young people's future, BLM and transrights",21141,2400,4180,"photo","en",NA
"271",2020-11-02,"biden","Don’t wait: Drop off your ballot today.
iwillvote.com","no pictures, just post",51674,8100,4215,"post","en",NA
"272",2020-11-02,"biden","Vote with pride. 
iwillvote.com","gay marriage",45397,4700,1609,"video","en",NA
"273",2020-11-02,"biden","Mañana es el último día de votar en contra de un presidente que no ha condenado la supremacía blanca. voyavotar.com","no pictures, just post",31123,2500,3363,"post","es",NA
"274",2020-11-02,"biden","For these folks in Cedar Key, Florida, working on the water is a passion passed down for generations. But it doesn’t take a scientist to see that things are changing and will continue to change for the worse along the Florida coast. We need leaders who not only believe in climate change but have a plan to curb its effect.","climate change video",24981,6300,1262,"video","en",NA
"275",2020-11-02,"biden","Vota por el futuro de nuestros hijos. voyavotar.com","people holding signs that reads vota",6299,1100,614,"photo","es",NA
"276",2020-11-02,"biden","1 day. Let’s win this thing.","no pictures, just post",46203,3400,2592,"post","en",NA
"277",2020-11-02,"biden","Our veterans have had enough of the disparaging and disrespectful comments from Donald Trump. As president, I will always honor those who have sacrificed for this great nation. Hear from them in their own words on why they’re supporting my campaign:","biden with veterans",228219,15000,6542,"video","en",NA
"278",2020-11-02,"biden","One day left — and we're leaving it all on the field. Tune in as we get out the vote in Cleveland.","video of biden's event",27381,3300,3859,"video","en",NA
"279",2020-11-02,"biden","Todos tenemos nuestras razones para votar, ¡pero yo quiero ver la tuya! Actualiza tu foto de perfil con nuestros nuevos marcos para compartir con tus amigos y familiares la razón por la cual estás en Team Joe. imvotingfor.joebiden.com.","latinos reasons for voting for biden",13103,10000,1505,"photo","es",NA
"280",2020-11-02,"biden","Tomorrow, the American people get their say and will choose the next President. This afternoon, my campaign manager Jen O'Malley Dillon and campaign adviser Bob Bauer will sit down to discuss what you can expect as the results come in. You can watch right here on Facebook at 1 PM ET.","invitation to watch event",23390,4600,899,"link to campaign website","en",NA
"281",2020-11-02,"biden","Tune in as my campaign manager Jen O’Malley Dillon and campaign adviser Bob Bauer discuss what to expect on Election Night.","biden's event",7152,5400,1242,"video","en",NA
"282",2020-11-02,"biden","We have one shot. One opportunity. One moment.
Don’t miss the chance — vote.","black and white video campaign ad",35516,3600,9998,"video","en",NA
"283",2020-11-02,"biden","If you live in Minnesota, you can vote early until November 2 — let’s not leave anything to chance. Head to iwillvote.com/locate to find your polling place now.","voters explain why they vote for biden and harris",5226,1500,550,"video","en",NA
